"datetime","count","hour","day"
"2011-01-20 00:00:00",97.90125332,0,5
"2011-01-20 01:00:00",90.4054855,1,5
"2011-01-20 02:00:00",90.4054855,2,5
"2011-01-20 03:00:00",94.77291124,3,5
"2011-01-20 04:00:00",94.77291124,4,5
"2011-01-20 05:00:00",75.61325008,5,5
"2011-01-20 06:00:00",69.82795808,6,5
"2011-01-20 07:00:00",85.03345808,7,5
"2011-01-20 08:00:00",88.21977842,8,5
"2011-01-20 09:00:00",105.79135008,9,5
"2011-01-20 10:00:00",117.4479042,10,5
"2011-01-20 11:00:00",139.83048874,11,5
"2011-01-20 12:00:00",159.1933485,12,5
"2011-01-20 13:00:00",141.0695724,13,5
"2011-01-20 14:00:00",148.41624146,14,5
"2011-01-20 15:00:00",157.3878538,15,5
"2011-01-20 16:00:00",136.25184146,16,5
"2011-01-20 17:00:00",139.0867539,17,5
"2011-01-20 18:00:00",102.2127028,18,5
"2011-01-20 19:00:00",94.71493298,19,5
"2011-01-20 20:00:00",90.40504792,20,5
"2011-01-20 21:00:00",83.05304164,21,5
"2011-01-20 22:00:00",65.01796642,22,5
"2011-01-20 23:00:00",67.40904098,23,5
"2011-01-21 00:00:00",54.60234164,0,6
"2011-01-21 01:00:00",54.60234164,1,6
"2011-01-21 02:00:00",44.86561924,2,6
"2011-01-21 03:00:00",26.6464242,3,6
"2011-01-21 04:00:00",1.60706912,4,6
"2011-01-21 05:00:00",79.10606338,5,6
"2011-01-21 06:00:00",88.58424964,6,6
"2011-01-21 07:00:00",92.16289692,7,6
"2011-01-21 08:00:00",106.71837148,8,6
"2011-01-21 09:00:00",96.14446304,9,6
"2011-01-21 10:00:00",109.48996844,10,6
"2011-01-21 11:00:00",133.49274594,11,6
"2011-01-21 12:00:00",182.44078662,12,6
"2011-01-21 13:00:00",190.50580512,13,6
"2011-01-21 14:00:00",175.15508478,14,6
"2011-01-21 15:00:00",156.59094916,15,6
"2011-01-21 16:00:00",156.23420404,16,6
"2011-01-21 17:00:00",144.36671204,17,6
"2011-01-21 18:00:00",131.34722914,18,6
"2011-01-21 19:00:00",130.93784298,19,6
"2011-01-21 20:00:00",116.40977338,20,6
"2011-01-21 21:00:00",92.67649892,21,6
"2011-01-21 22:00:00",74.52360832,22,6
"2011-01-21 23:00:00",84.88599198,23,6
"2011-01-22 00:00:00",55.78639664,0,7
"2011-01-22 01:00:00",72.15162682,1,7
"2011-01-22 02:00:00",73.80009664,2,7
"2011-01-22 03:00:00",75.39592542,3,7
"2011-01-22 04:00:00",49.1472937,4,7
"2011-01-22 06:00:00",61.72641708,6,7
"2011-01-22 07:00:00",54.66714792,7,7
"2011-01-22 08:00:00",52.63281848,8,7
"2011-01-22 09:00:00",67.95079664,9,7
"2011-01-22 10:00:00",77.84497824,10,7
"2011-01-22 11:00:00",91.15774146,11,7
"2011-01-22 12:00:00",98.3889434,12,7
"2011-01-22 13:00:00",115.0888235,13,7
"2011-01-22 14:00:00",119.2866129,14,7
"2011-01-22 15:00:00",134.6708955,15,7
"2011-01-22 16:00:00",140.6288128,16,7
"2011-01-22 17:00:00",147.917993,17,7
"2011-01-22 18:00:00",103.3742393,18,7
"2011-01-22 19:00:00",104.61332296,19,7
"2011-01-22 20:00:00",65.61657024,20,7
"2011-01-22 21:00:00",82.62109762,21,7
"2011-01-22 22:00:00",66.7281315,22,7
"2011-01-22 23:00:00",24.5771619,23,7
"2011-01-23 00:00:00",12.8153619,0,1
"2011-01-23 01:00:00",12.8153619,1,1
"2011-01-23 02:00:00",0,2,1
"2011-01-23 03:00:00",0,3,1
"2011-01-23 05:00:00",18.6646619,5,1
"2011-01-23 06:00:00",18.6646619,6,1
"2011-01-23 07:00:00",24.50205174,7,1
"2011-01-23 08:00:00",2.15607023999999,8,1
"2011-01-23 09:00:00",39.55885304,9,1
"2011-01-23 10:00:00",77.02495132,10,1
"2011-01-23 11:00:00",86.20622958,11,1
"2011-01-23 12:00:00",114.13259494,12,1
"2011-01-23 13:00:00",116.55925132,13,1
"2011-01-23 14:00:00",140.35050404,14,1
"2011-01-23 15:00:00",140.35050404,15,1
"2011-01-23 16:00:00",144.84221248,16,1
"2011-01-23 17:00:00",137.84695132,17,1
"2011-01-23 18:00:00",121.54572914,18,1
"2011-01-23 19:00:00",123.14155792,19,1
"2011-01-23 20:00:00",97.54295164,20,1
"2011-01-23 21:00:00",94.3566313,21,1
"2011-01-23 22:00:00",82.4891393,22,1
"2011-01-23 23:00:00",64.78008658,23,1
"2011-01-24 00:00:00",65.1445578,0,2
"2011-01-24 01:00:00",47.2239803,1,2
"2011-01-24 03:00:00",45.98489664,3,2
"2011-01-24 04:00:00",37.95076146,4,2
"2011-01-24 05:00:00",37.95076146,5,2
"2011-01-24 06:00:00",39.99042812,6,2
"2011-01-24 07:00:00",48.426262,7,2
"2011-01-24 08:00:00",51.170454,8,2
"2011-01-24 09:00:00",81.2554315,9,2
"2011-01-24 10:00:00",76.537818,10,2
"2011-01-24 11:00:00",67.11590046,11,2
"2011-01-24 12:00:00",94.1012128,12,2
"2011-01-24 13:00:00",94.01582958,13,2
"2011-01-24 14:00:00",84.89252958,14,2
